"date","year","month","soi"
1957-12-01,1957,12,0.617
1958-01-01,1958,1,0.705
1958-02-01,1958,2,0.639
1958-03-01,1958,3,0.454
1958-04-01,1958,4,0.311
1958-05-01,1958,5,0.355
1958-06-01,1958,6,-0.158
1958-07-01,1958,7,-0.038
1958-08-01,1958,8,0.115
1958-09-01,1958,9,0.137
1958-10-01,1958,10,0.257
1958-11-01,1958,11,0.115
1958-12-01,1958,12,0.038
1959-01-01,1959,1,0.082
1959-02-01,1959,2,0.148
1959-03-01,1959,3,0.06
1959-04-01,1959,4,-0.191
1959-05-01,1959,5,-0.607
1959-06-01,1959,6,-0.585
1959-07-01,1959,7,-0.268
1959-08-01,1959,8,-0.093
1959-09-01,1959,9,-0.093
1959-10-01,1959,10,0.257
1959-11-01,1959,11,-0.005
1959-12-01,1959,12,0.224
1960-01-01,1960,1,0.169
1960-02-01,1960,2,0.432
1960-03-01,1960,3,0.202
1960-04-01,1960,4,-0.366
1960-05-01,1960,5,-0.661
1960-06-01,1960,6,0.093
1960-07-01,1960,7,-0.716
1960-08-01,1960,8,0.148
1960-09-01,1960,9,-0.093
1960-10-01,1960,10,0.279
1960-11-01,1960,11,0.432
1960-12-01,1960,12,-0.104
1961-01-01,1961,1,0.607
1961-02-01,1961,2,0.18
1961-03-01,1961,3,0.071
1961-04-01,1961,4,0.246
1961-05-01,1961,5,-0.432
1961-06-01,1961,6,0.06
1961-07-01,1961,7,-0.388
1961-08-01,1961,8,0.202
1961-09-01,1961,9,-0.104
1961-10-01,1961,10,0.191
1961-11-01,1961,11,0.475
1961-12-01,1961,12,0.552
1962-01-01,1962,1,0.169
1962-02-01,1962,2,0.333
1962-03-01,1962,3,-0.005
1962-04-01,1962,4,-0.038
1962-05-01,1962,5,-0.126
1962-06-01,1962,6,-0.443
1962-07-01,1962,7,-0.016
1962-08-01,1962,8,0.027
1962-09-01,1962,9,0.333
1962-10-01,1962,10,0.355
1962-11-01,1962,11,0.344
1962-12-01,1962,12,0.115
1963-01-01,1963,1,0.311
1963-02-01,1963,2,0.596
1963-03-01,1963,3,0.005
1963-04-01,1963,4,0.388
1963-05-01,1963,5,-0.5080001
1963-06-01,1963,6,-0.552
1963-07-01,1963,7,-0.858
1963-08-01,1963,8,-0.596
1963-09-01,1963,9,0.06
1963-10-01,1963,10,0.071
1963-11-01,1963,11,0.224
1963-12-01,1963,12,0.279
1964-01-01,1964,1,0.322
1964-02-01,1964,2,0.18
1964-03-01,1964,3,0.126
1964-04-01,1964,4,0.082
1964-05-01,1964,5,0.126
1964-06-01,1964,6,-0.213
1964-07-01,1964,7,-0.235
1964-08-01,1964,8,0.169
1964-09-01,1964,9,0.388
1964-10-01,1964,10,0.519
1964-11-01,1964,11,0.126
1964-12-01,1964,12,0.41
1965-01-01,1965,1,0.738
1965-02-01,1965,2,0.443
1965-03-01,1965,3,0.596
1965-04-01,1965,4,-0.137
1965-05-01,1965,5,-0.486
1965-06-01,1965,6,-0.377
1965-07-01,1965,7,0.268
1965-08-01,1965,8,-0.169
1965-09-01,1965,9,-0.213
1965-10-01,1965,10,-0.191
1965-11-01,1965,11,0.377
1965-12-01,1965,12,0.126
1966-01-01,1966,1,0.311
1966-02-01,1966,2,0.388
1966-03-01,1966,3,0.388
1966-04-01,1966,4,0.18
1966-05-01,1966,5,-0.333
1966-06-01,1966,6,0.049
1966-07-01,1966,7,-0.082
1966-08-01,1966,8,0.191
1966-09-01,1966,9,0.399
1966-10-01,1966,10,0.093
1966-11-01,1966,11,0.005
1966-12-01,1966,12,0.366
1967-01-01,1967,1,0.333
1967-02-01,1967,2,0.377
1967-03-01,1967,3,0.071
1967-04-01,1967,4,-0.158
1967-05-01,1967,5,-0.541
1967-06-01,1967,6,-0.683
1967-07-01,1967,7,-0.683
1967-08-01,1967,8,-0.344
1967-09-01,1967,9,-0.301
1967-10-01,1967,10,0.202
1967-11-01,1967,11,-0.126
1967-12-01,1967,12,0.082
1968-01-01,1968,1,0.115
1968-02-01,1968,2,0.464
1968-03-01,1968,3,0.104
1968-04-01,1968,4,-0.18
1968-05-01,1968,5,-0.672
1968-06-01,1968,6,0.104
1968-07-01,1968,7,-0.486
1968-08-01,1968,8,0.093
1968-09-01,1968,9,0.279
1968-10-01,1968,10,0.104
1968-11-01,1968,11,0.18
1968-12-01,1968,12,0.475
1969-01-01,1969,1,0.53
1969-02-01,1969,2,0.661
1969-03-01,1969,3,0.355
1969-04-01,1969,4,-0.344
1969-05-01,1969,5,-0.038
1969-06-01,1969,6,0.235
1969-07-01,1969,7,0.486
1969-08-01,1969,8,0.169
1969-09-01,1969,9,0.333
1969-10-01,1969,10,0.137
1969-11-01,1969,11,0.169
1969-12-01,1969,12,0.333
1970-01-01,1970,1,0.705
1970-02-01,1970,2,0.377
1970-03-01,1970,3,0.585
1970-04-01,1970,4,-0.126
1970-05-01,1970,5,-0.213
1970-06-01,1970,6,0.148
1970-07-01,1970,7,-0.126
1970-08-01,1970,8,-0.344
1970-09-01,1970,9,-0.5080001
1970-10-01,1970,10,0.279
1970-11-01,1970,11,0.082
1970-12-01,1970,12,0.355
1971-01-01,1971,1,0.082
1971-02-01,1971,2,0.574
1971-03-01,1971,3,0.355
1971-04-01,1971,4,-0.257
1971-05-01,1971,5,-0.377
1971-06-01,1971,6,-0.344
1971-07-01,1971,7,-0.65
1971-08-01,1971,8,-0.093
1971-09-01,1971,9,-0.137
1971-10-01,1971,10,0.115
1971-11-01,1971,11,0.705
1971-12-01,1971,12,0.399
1972-01-01,1972,1,0.366
1972-02-01,1972,2,0.366
1972-03-01,1972,3,0.038
1972-04-01,1972,4,-0.268
1972-05-01,1972,5,0.322
1972-06-01,1972,6,0.082
1972-07-01,1972,7,0.082
1972-08-01,1972,8,0.06
1972-09-01,1972,9,0.268
1972-10-01,1972,10,0.421
1972-11-01,1972,11,0.77
1972-12-01,1972,12,0.803
1973-01-01,1973,1,0.661
1973-02-01,1973,2,0.716
1973-03-01,1973,3,0.628
1973-04-01,1973,4,0.191
1973-05-01,1973,5,0.53
1973-06-01,1973,6,0.18
1973-07-01,1973,7,-0.464
1973-08-01,1973,8,0.279
1973-09-01,1973,9,0.355
1973-10-01,1973,10,0.202
1973-11-01,1973,11,0.552
1973-12-01,1973,12,0.617
1974-01-01,1974,1,0.104
1974-02-01,1974,2,0.224
1974-03-01,1974,3,0.432
1974-04-01,1974,4,-0.213
1974-05-01,1974,5,-0.967
1974-06-01,1974,6,-1
1974-07-01,1974,7,-0.432
1974-08-01,1974,8,-0.683
1974-09-01,1974,9,-0.5080001
1974-10-01,1974,10,-0.137
1974-11-01,1974,11,0.082
1974-12-01,1974,12,-0.06
1975-01-01,1975,1,0.333
1975-02-01,1975,2,0.355
1975-03-01,1975,3,0.388
1975-04-01,1975,4,-0.06
1975-05-01,1975,5,-0.202
1975-06-01,1975,6,0.005
1975-07-01,1975,7,-0.115
1975-08-01,1975,8,0.137
1975-09-01,1975,9,0.454
1975-10-01,1975,10,0.388
1975-11-01,1975,11,0.738
1975-12-01,1975,12,0.77
1976-01-01,1976,1,0.803
1976-02-01,1976,2,0.836
1976-03-01,1976,3,0.65
1976-04-01,1976,4,0.005
1976-05-01,1976,5,-0.366
1976-06-01,1976,6,0.071
1976-07-01,1976,7,-0.005
1976-08-01,1976,8,-0.454
1976-09-01,1976,9,0.191
1976-10-01,1976,10,0.432
1976-11-01,1976,11,0.683
1976-12-01,1976,12,0.388
1977-01-01,1977,1,0.235
1977-02-01,1977,2,-0.093
1977-03-01,1977,3,0.475
1977-04-01,1977,4,-0.082
1977-05-01,1977,5,-0.617
1977-06-01,1977,6,-0.093
1977-07-01,1977,7,-0.071
1977-08-01,1977,8,0.432
1977-09-01,1977,9,0.421
1977-10-01,1977,10,0.497
1977-11-01,1977,11,0.454
1977-12-01,1977,12,0.596
1978-01-01,1978,1,0.552
1978-02-01,1978,2,0.607
1978-03-01,1978,3,0.464
1978-04-01,1978,4,-0.301
1978-05-01,1978,5,-0.77
1978-06-01,1978,6,-0.65
1978-07-01,1978,7,-0.694
1978-08-01,1978,8,-0.137
1978-09-01,1978,9,-0.464
1978-10-01,1978,10,-0.246
1978-11-01,1978,11,0.169
1978-12-01,1978,12,-0.202
1979-01-01,1979,1,0.082
1979-02-01,1979,2,0.607
1979-03-01,1979,3,-0.158
1979-04-01,1979,4,-0.454
1979-05-01,1979,5,-0.781
1979-06-01,1979,6,-0.388
1979-07-01,1979,7,0.18
1979-08-01,1979,8,0.06
1979-09-01,1979,9,-0.5080001
1979-10-01,1979,10,-0.268
1979-11-01,1979,11,0.224
1979-12-01,1979,12,0.115
1980-01-01,1980,1,0.399
1980-02-01,1980,2,0.027
1980-03-01,1980,3,0.016
1980-04-01,1980,4,-0.377
1980-05-01,1980,5,-0.18
1980-06-01,1980,6,-0.038
1980-07-01,1980,7,-0.202
1980-08-01,1980,8,0.137
1980-09-01,1980,9,0.093
1980-10-01,1980,10,-0.279
1980-11-01,1980,11,-0.038
1980-12-01,1980,12,0.235
1981-01-01,1981,1,0.169
1981-02-01,1981,2,0.399
1981-03-01,1981,3,0.158
1981-04-01,1981,4,-0.541
1981-05-01,1981,5,-0.628
1981-06-01,1981,6,0.027
1981-07-01,1981,7,-0.738
1981-08-01,1981,8,-0.913
1981-09-01,1981,9,-0.027
1981-10-01,1981,10,0.071
1981-11-01,1981,11,-0.126
1981-12-01,1981,12,0.049
1982-01-01,1982,1,0.454
1982-02-01,1982,2,0.301
1982-03-01,1982,3,-0.005
1982-04-01,1982,4,-0.093
1982-05-01,1982,5,-0.224
1982-06-01,1982,6,-0.213
1982-07-01,1982,7,-0.311
1982-08-01,1982,8,-0.235
1982-09-01,1982,9,-0.322
1982-10-01,1982,10,0.322
1982-11-01,1982,11,0.093
1982-12-01,1982,12,0.115
1983-01-01,1983,1,0.77
1983-02-01,1983,2,0.607
1983-03-01,1983,3,-0.158
1983-04-01,1983,4,-0.235
1983-05-01,1983,5,-0.202
1983-06-01,1983,6,-0.333
1983-07-01,1983,7,-0.158
1983-08-01,1983,8,-0.224
1983-09-01,1983,9,-0.355
1983-10-01,1983,10,0.005
1983-11-01,1983,11,0.454
1983-12-01,1983,12,0.41
1984-01-01,1984,1,0.519
1984-02-01,1984,2,0.541
1984-03-01,1984,3,0.301
1984-04-01,1984,4,-0.574
1984-05-01,1984,5,-0.344
1984-06-01,1984,6,-0.279
1984-07-01,1984,7,-0.716
1984-08-01,1984,8,-0.869
1984-09-01,1984,9,-0.596
1984-10-01,1984,10,-0.29
1984-11-01,1984,11,-0.454
1984-12-01,1984,12,-0.246
1985-01-01,1985,1,-0.607
1985-02-01,1985,2,-0.563
1985-03-01,1985,3,-0.235
1985-04-01,1985,4,-0.246
1985-05-01,1985,5,-0.399
1985-06-01,1985,6,-0.333
1985-07-01,1985,7,-0.53
1985-08-01,1985,8,-0.049
1985-09-01,1985,9,0.158
1985-10-01,1985,10,0.115
1985-11-01,1985,11,0.322
1985-12-01,1985,12,0.115
1986-01-01,1986,1,0.049
1986-02-01,1986,2,0.454
1986-03-01,1986,3,0.158
1986-04-01,1986,4,-0.421
1986-05-01,1986,5,-0.268
1986-06-01,1986,6,-0.311
1986-07-01,1986,7,-0.115
1986-08-01,1986,8,-0.322
1986-09-01,1986,9,-0.322
1986-10-01,1986,10,0.126
1986-11-01,1986,11,0.333
1986-12-01,1986,12,0.519
1987-01-01,1987,1,0.399
1987-02-01,1987,2,0.519
1987-03-01,1987,3,0.432
1987-04-01,1987,4,0.355
1987-05-01,1987,5,-0.126
1987-06-01,1987,6,-0.5080001
1987-07-01,1987,7,-0.388
1987-08-01,1987,8,0.388
1987-09-01,1987,9,0.071
